      Energy	InelasticMFP
        (eV)	        (nm)
1.023293e+04	1.106954e+01
1.047129e+04	1.100640e+01
1.071519e+04	1.113432e+01
1.096478e+04	1.130864e+01
1.122018e+04	1.150373e+01
1.148154e+04	1.170984e+01
1.174898e+04	1.192270e+01
1.202264e+04	1.214201e+01
1.230269e+04	1.236720e+01
1.258925e+04	1.259792e+01
1.288250e+04	1.283382e+01
1.318257e+04	1.307465e+01
1.348963e+04	1.332046e+01
1.380384e+04	1.357118e+01
1.412538e+04	1.382684e+01
1.445440e+04	1.408744e+01
1.479108e+04	1.435301e+01
1.513561e+04	1.462363e+01
1.548817e+04	1.489934e+01
1.584893e+04	1.518020e+01
1.621810e+04	1.546628e+01
1.659587e+04	1.575766e+01
1.698244e+04	1.605439e+01
1.737801e+04	1.635657e+01
1.778279e+04	1.666425e+01
1.819701e+04	1.697754e+01
1.862087e+04	1.729649e+01
1.905461e+04	1.762120e+01
1.949845e+04	1.795175e+01
1.995262e+04	1.828821e+01
2.041738e+04	1.863068e+01
2.089296e+04	1.897924e+01
2.137962e+04	1.933396e+01
2.187762e+04	1.969495e+01
2.238721e+04	2.006228e+01
2.290868e+04	2.043605e+01
2.344229e+04	2.081633e+01
2.398833e+04	2.120322e+01
2.454709e+04	2.159680e+01
2.511886e+04	2.199716e+01
2.570396e+04	2.240439e+01
2.630268e+04	2.281858e+01
2.691535e+04	2.323981e+01
2.754229e+04	2.366817e+01
2.818383e+04	2.410375e+01
2.884032e+04	2.454664e+01
2.951209e+04	2.499691e+01
3.019952e+04	2.545466e+01
3.090295e+04	2.591997e+01
3.162278e+04	2.639293e+01
3.235937e+04	2.687361e+01
3.311311e+04	2.736211e+01
3.388442e+04	2.785850e+01
3.467369e+04	2.836287e+01
3.548134e+04	2.887528e+01
3.630781e+04	2.939583e+01
3.715352e+04	2.992459e+01
3.801894e+04	3.046163e+01
3.890451e+04	3.100702e+01
3.981072e+04	3.156084e+01
4.073803e+04	3.212316e+01
4.168694e+04	3.269404e+01
4.265795e+04	3.327355e+01
4.365158e+04	3.386176e+01
4.466836e+04	3.445871e+01
4.570882e+04	3.506448e+01
4.677351e+04	3.567911e+01
4.786301e+04	3.630266e+01
4.897788e+04	3.693517e+01
5.011872e+04	3.757669e+01
5.128614e+04	3.822727e+01
5.248075e+04	3.888694e+01
5.370318e+04	3.955574e+01
5.495409e+04	4.023369e+01
5.623413e+04	4.092083e+01
5.754399e+04	4.161717e+01
5.888437e+04	4.232274e+01
6.025596e+04	4.303754e+01
6.165950e+04	4.376160e+01
6.309573e+04	4.449490e+01
6.456542e+04	4.523744e+01
6.606934e+04	4.598923e+01
6.760830e+04	4.675025e+01
6.918310e+04	4.752047e+01
7.079458e+04	4.829988e+01
7.244360e+04	4.908845e+01
7.413102e+04	4.988613e+01
7.585776e+04	5.069289e+01
7.762471e+04	5.150867e+01
7.943282e+04	5.233342e+01
8.128305e+04	5.316707e+01
8.317638e+04	5.400955e+01
8.511380e+04	5.486079e+01
8.709636e+04	5.572070e+01
8.912509e+04	5.658918e+01
9.120108e+04	5.746613e+01
9.332543e+04	5.835145e+01
9.549926e+04	5.924502e+01
9.772372e+04	6.014671e+01
1.000000e+05	6.105638e+01
1.023293e+05	6.197390e+01
1.047129e+05	6.289912e+01
1.071519e+05	6.383187e+01
1.096478e+05	6.477198e+01
1.122018e+05	6.571929e+01
1.148154e+05	6.667359e+01
1.174898e+05	6.763471e+01
1.202264e+05	6.860242e+01
1.230269e+05	6.957653e+01
1.258925e+05	7.055681e+01
1.288250e+05	7.154302e+01
1.318257e+05	7.253493e+01
1.348963e+05	7.353229e+01
1.380384e+05	7.453484e+01
1.412538e+05	7.554231e+01
1.445440e+05	7.655443e+01
1.479108e+05	7.757092e+01
1.513561e+05	7.859148e+01
1.548817e+05	7.961581e+01
1.584893e+05	8.064360e+01
1.621810e+05	8.167453e+01
1.659587e+05	8.270828e+01
1.698244e+05	8.374452e+01
1.737801e+05	8.478291e+01
1.778279e+05	8.582310e+01
1.819701e+05	8.686474e+01
1.862087e+05	8.790746e+01
1.905461e+05	8.895090e+01
1.949845e+05	8.999468e+01
1.995262e+05	9.103844e+01
2.041738e+05	9.208178e+01
2.089296e+05	9.312432e+01
2.137962e+05	9.416566e+01
2.187762e+05	9.520541e+01
2.238721e+05	9.624318e+01
2.290868e+05	9.727855e+01
2.344229e+05	9.831112e+01
2.398833e+05	9.934049e+01
2.454709e+05	1.003662e+02
2.511886e+05	1.013880e+02
2.570396e+05	1.024053e+02
2.630268e+05	1.034177e+02
2.691535e+05	1.044249e+02
